plan_id,plan_nombre,año,Materia_01,Materia_02,Materia_03,Materia_04,Materia_05,Materia_06,Materia_07,Materia_08,Materia_09,Materia_10,Materia_11,Materia_12
1,Bachiller Ciclo Básico,1,CIENCIAS NATURALES,CIENCIAS SOCIALES,EDUCACIÓN ARTÍSTICA,EDUCACIÓN FÍSICA,INGLÉS,MATEMÁTICA,PRÁCTICAS DEL LENGUAJE,CONSTRUCCIÓN DE CIUDADANÍA,,,,
1,Bachiller Ciclo Básico,2,BIOLOGÍA,CONSTRUCCIÓN DE CIUDADANÍA,EDUCACIÓN ARTÍSTICA,EDUCACIÓN FÍSICA,FÍSICO - QUÍMICA,GEOGRAFÍA,HISTORIA,INGLÉS,MATEMÁTICA,PRÁCTICAS DEL LENGUAJE,,
1,Bachiller Ciclo Básico,3,BIOLOGÍA,CONSTRUCCIÓN DE CIUDADANÍA,EDUCACIÓN ARTÍSTICA,EDUCACIÓN FÍSICA,FÍSICO - QUÍMICA,GEOGRAFÍA,HISTORIA,INGLÉS,MATEMÁTICA,PRÁCTICAS DEL LENGUAJE,,
2,Aulas de fortalecimiento de trayectorias educativas,1,BIOLOGÍA,CONSTRUCCIÓN DE CIUDADANÍA,EDUCACIÓN ARTÍSTICA,EDUCACIÓN FÍSICA,FÍSICO - QUÍMICA,GEOGRAFÍA,HISTORIA,INGLÉS,MATEMÁTICA,PRÁCTICAS DEL LENGUAJE,,
3,Bachiller en Ciencias Sociales,4,LITERATURA,MATEMÁTICA,EDUCACIÓN FÍSICA,INGLÉS,NTICX,SALUD Y ADOLESCENCIA,INTRODUCCIÓN A LA FÍSICA,BIOLOGÍA,HISTORIA,GEOGRAFÍA,PSICOLOGÍA,
3,Bachiller en Ciencias Sociales,5,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,POLÍTICA Y CIUDADANÍA,INTRODUCCIÓN A LA QUÍMICA,HISTORIA,GEOGRAFÍA,COMUNICACIÓN CULTURA Y SOCIEDAD,ECONOMÍA POLÍTICA,SOCIOLOGÍA,
3,Bachiller en Ciencias Sociales,6,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,POLÍTICA Y CIUDADANÍA,INTRODUCCIÓN A LA QUÍMICA,HISTORIA,GEOGRAFÍA,COMUNICACIÓN CULTURA Y SOCIEDAD,ECONOMÍA POLÍTICA,SOCIOLOGÍA,
4,Bachiller en Ciencias Naturales,4,LITERATURA,MATEMÁTICA,EDUCACIÓN FÍSICA,INGLÉS,NTICX,SALUD Y ADOLESCENCIA,INTRODUCCIÓN A LA QUÍMICA,INTRODUCCIÓN A LA FÍSICA,BIOLOGÍA,HISTORIA,GEOGRAFÍA,
4,Bachiller en Ciencias Naturales,5,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,POLÍTICA Y CIUDADANÍA,CIENCIAS DE LA TIERRA,FUNDAMENTOS DE LA QUÍMICA,FÍSICA,BIOLOGÍA,HISTORIA,GEOGRAFÍA,ARTE
4,Bachiller en Ciencias Naturales,6,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,TRABAJO Y CIUDADANÍA,QUÍMICA DEL CARBONO,FÍSICA CLAS. Y MOD.,BIOLOGÍA GEN. Y SOC.,AMBIENTE DES. Y SOC.,FILOSOFÍA E HIST. DE LA CS. Y LA TECN.,,
5,Bachiller en Economía y Administración,4,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,NTICX,SALUD Y ADOLESCENCIA,INTRODUCCIÓN A LA FÍSICA,BIOLOGÍA,HISTORIA,GEOGRAFÍA,SISTEMAS DE INFORMACIÓN CONTABLE,TEORÍA DE LAS ORGANIZACIONES
5,Bachiller en Economía y Administración,5,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,POLÍTICA Y CIUDADANÍA,INTRODUCCIÓN A LA QUÍMICA,HISTORIA,GEOGRAFÍA,ELEM.DE MICRO Y MACRO ECONOMÍA,DERECHO,GESTIÓN ORGANIZACIONAL,SIST.DE INFORMACIÓN CONTABLE
5,Bachiller en Economía y Administración,6,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,TRABAJO Y CIUDADANÍA,PROYECTOS ORGANIZACIONALES,ECONOMÍA POLÍTICA,ARTE,FILOSOFÍA,,,
6,Bachiller en Turismo,4,LITERATURA,MATEMÁTICA,EDUCACIÓN FÍSICA,INGLÉS,NTICX,SALUD Y ADOLESCENCIA,INTRODUCCIÓN A LA FÍSICA,BIOLOGÍA,HISTORIA,GEOGRAFÍA,FILOSOFÍA,TEORÍA DEL TURISMO
6,Bachiller en Turismo,5,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,POLÍTICA Y CIUDADANÍA,HISTORIA,GEOGRAFÍA,ARTE,INTRODUCCIÓN A LA QUÍMICA,DESTINOS TURÍSTICOS,MANIFESTACIONES CULTURALES,SEM: TURISMO Y SUSTENTABILIDAD
6,Bachiller en Turismo,6,LITERATURA,MATEMÁTICA - CICLO SUP,EDUCACIÓN FÍSICA,INGLÉS,TRABAJO Y CIUDADANÍA,PSICO. SOC. DEL TURISMO,PRÁCTICAS TURÍSTICAS,DISEÑO Y GESTIÓN CON TEC.,SEMINARIO ACCESIB. TURÍST.,,,
